cve_ent,cve_mun,descrip
001,001,Aguascalientes
001,005,Jesús María
001,006,Pabellón de Arteaga
001,009,Tepezalá
001,011,San Francisco de los Romo
002,001,Ensenada
002,002,Mexicali
002,004,Tijuana
002,005,Playas de Rosarito
002,006,San Quintín
003,001,Comondú
003,002,Mulegé
003,003,La Paz
003,008,Los Cabos
004,001,Calkiní
004,002,Campeche
004,003,Carmen
004,004,Champotón
004,006,Hopelchén
004,008,Tenabo
004,010,Calakmul
005,002,Acuña
005,006,Castaños
005,009,Francisco I. Madero
005,010,Frontera
005,017,Matamoros
005,018,Monclova
005,022,Nava
005,024,Parras
005,025,Piedras Negras
005,027,Ramos Arizpe
005,030,Saltillo
005,032,San Juan de Sabinas
005,033,San Pedro
005,035,Torreón
005,038,Zaragoza
006,002,Colima
006,003,Comala
006,004,Coquimatlán
006,007,Manzanillo
006,009,Tecomán
006,010,Villa de Álvarez
007,005,Amatán
007,019,Comitán de Domínguez
007,021,Copainalá
007,031,Chilón
007,040,Huixtla
007,041,La Independencia
007,051,Mapastepec
007,052,Las Margaritas
007,059,Ocosingo
007,065,Palenque
007,068,Pichucalco
007,074,Reforma
007,078,San Cristóbal de las Casas
007,089,Tapachula
007,093,Tenejapa
007,099,La Trinitaria
007,101,Tuxtla Gutiérrez
007,107,Villa Corzo
007,108,Villaflores
008,004,Aquiles Serdán
008,005,Ascensión
008,012,Carichí
008,017,Cuauhtémoc
008,019,Chihuahua
008,021,Delicias
008,031,Guerrero
008,032,Hidalgo del Parral
008,037,Juárez
008,048,Namiquipa
008,050,Nuevo Casas Grandes
009,002,Azcapotzalco
009,003,Coyoacán
009,004,Cuajimalpa de Morelos
009,005,Gustavo A. Madero
009,006,Iztacalco
009,007,Iztapalapa
009,008,La Magdalena Contreras
009,009,Milpa Alta
009,010,Álvaro Obregón
009,011,Tláhuac
009,012,Tlalpan
009,013,Xochimilco
009,014,Benito Juárez
009,015,Cuauhtémoc
009,016,Miguel Hidalgo
009,017,Venustiano Carranza
010,003,Coneto De Comonfort
010,005,Durango
010,006,General Simón Bolívar
010,007,Gómez Palacio
010,012,Lerdo
010,014,Mezquital
010,015,Nazas
010,023,Pueblo Nuevo
010,032,Santiago Papasquiaro
010,036,Tlahualilo
010,039,Nuevo Ideal
011,001,Abasolo
011,005,Apaseo El Grande
011,007,Celaya
011,014,Dolores Hidalgo Cuna de la Independencia Nacional
011,015,Guanajuato
011,017,Irapuato
011,020,León
011,025,Purísima del Rincón
011,027,Salamanca
011,031,San Francisco del Rincón
011,037,Silao de la Victoria
011,041,Uriangato
011,044,Villagrán
012,001,Acapulco de Juárez
012,012,Ayutla de los Libres
012,028,Chilapa de Álvarez
012,029,Chilpancingo de los Bravo
012,035,Iguala de la Independencia
012,036,Igualapa
012,038,Zihuatanejo de Azueta
012,046,Ometepec
012,048,Petatlán
012,051,Quechultenango
012,054,San Miguel Totolapan
012,075,Eduardo Neri
013,003,Actopan
013,013,Atotonilco de Tula
013,016,Cuautepec de Hinojosa
013,022,Epazoyucan
013,023,Francisco I. Madero
013,024,Huasca de Ocampo
013,037,Metztitlán
013,041,Mixquiahuala de Juárez
013,048,Pachuca de Soto
013,051,Mineral de la Reforma
013,052,San Agustín Tlaxiaca
013,057,Singuilucan
013,058,Tasquillo
013,059,Tecozautla
013,069,Tizayuca
013,074,Tlaxcoapan
013,077,Tulancingo de Bravo
013,080,Yahualica
013,082,Zapotlán de Juárez
013,083,Zempoala
013,084,Zimapán
014,014,Atoyac
014,023,Zapotlán El Grande
014,030,Chapala
014,037,El Grullo
014,039,Guadalajara
014,044,Ixtlahuacán de los Membrillos
014,067,Puerto Vallarta
014,068,Villa Purificación
014,070,El Salto
014,097,Tlajomulco de Zúñiga
014,098,San Pedro Tlaquepaque
014,100,Tomatlán
014,101,Tonalá
014,120,Zapopan
015,005,Almoloya de Juárez
015,013,Atizapán de Zaragoza
015,020,Coacalco de Berriozábal
015,025,Chalco
015,026,Chapa de Mota
015,029,Chicoloapan
015,031,Chimalhuacán
015,033,Ecatepec de Morelos
015,037,Huixquilucan
015,039,Ixtapaluca
015,043,Xalatlaco
015,053,Melchor Ocampo
015,054,Metepec
015,057,Naucalpan de Juárez
