llaveviv,p0_1,p0_2,p0_3,p0_4_1,p0_4_1a,p0_4_2,p0_4_2a,p1_1,p1_2,p1_3,folio,viv_sel,ent,tloc,region,est_dis,upm_dis,fac_viv
101,2,4,1,1,2,1,1,3,1,,1,1,3,1,1,17,196,613
210,1,3,1,1,1,1,1,1,1,,2,10,31,3,6,179,2088,1811
303,2,4,1,1,1,1,1,2,1,,3,3,9,1,4,50,763,485
401,1,4,1,1,1,1,1,1,1,,4,1,3,1,1,17,182,715
503,3,6,2,2,,1,1,4,1,,5,3,9,1,4,49,631,3756
603,2,4,1,2,,1,2,4,1,,6,3,7,1,6,40,459,4492
704,1,3,0,1,1,2,,6,1,,7,4,20,4,6,111,1380,3726
803,1,3,1,2,,2,,3,1,,8,3,24,2,2,135,1585,1797
904,3,4,1,2,,1,1,4,1,,9,4,19,1,2,107,1297,3504
1004,3,4,1,1,1,1,1,4,1,,10,4,2,1,1,11,136,2692
1102,3,5,2,1,1,1,1,4,1,,11,2,22,1,3,127,1481,2049
1201,3,5,2,1,1,1,1,5,1,,12,1,11,4,3,57,834,19030
1303,2,4,1,2,,1,1,5,1,,13,3,27,1,6,156,1831,1596
1408,3,3,0,2,,1,2,2,1,,14,8,7,4,6,39,454,3356
1504,1,4,1,2,,1,1,2,1,,15,4,17,1,5,97,1171,1518
1609,3,4,1,2,,1,1,6,1,,16,9,14,4,3,77,970,8757
1704,3,5,1,1,1,1,1,4,1,,17,4,5,1,2,30,358,1424
1816,2,3,1,2,,2,,2,1,,18,16,13,4,5,70,933,2426
1904,5,8,2,1,3,1,1,5,1,,19,4,8,1,1,44,508,2710
2008,1,2,1,2,,2,,1,1,,20,8,28,4,2,160,1848,1343
2105,3,5,2,1,1,1,1,4,1,,21,5,15,1,5,87,1095,11960
2205,3,3,1,1,1,1,1,3,1,,22,5,11,1,3,59,861,5503
2318,1,3,1,2,,2,,1,1,,23,18,16,3,3,88,1108,4784
2413,2,4,1,1,1,1,1,2,1,,24,13,2,4,1,8,63,1922
2502,1,5,2,1,1,1,1,2,1,,25,2,9,1,4,50,735,2939
2601,2,5,2,1,1,1,1,4,2,2,26,1,32,3,3,186,2143,1518
2701,2,5,1,1,1,1,1,1,1,,27,1,28,1,2,164,1953,2054
2805,2,3,0,2,,2,,4,1,,28,5,11,2,3,56,829,19751
2920,2,2,1,1,1,1,1,6,1,,29,20,27,2,6,153,1812,2385
3001,3,5,2,2,,2,,5,1,,30,1,9,1,4,50,736,2891
3102,3,4,0,2,,1,1,7,1,,31,2,21,1,5,120,1419,6156
3209,2,3,1,2,,2,,2,1,,32,9,16,4,3,89,1113,3018
3316,2,3,1,2,,2,,4,1,,33,16,27,3,6,153,1811,2396
3403,3,4,1,1,2,1,1,4,1,,34,3,5,1,2,30,356,1435
3504,2,2,1,1,2,1,1,6,1,,35,4,26,1,1,151,1773,2173
3603,3,7,3,1,2,1,1,1,1,,36,3,22,1,3,127,1494,1700
3704,2,3,1,1,2,1,1,5,1,,37,4,2,1,1,11,137,2455
3804,2,3,1,1,1,1,1,3,1,,38,4,28,1,2,164,1958,1911
3903,2,6,1,2,,1,1,3,1,,39,3,9,1,4,49,612,4271
4014,2,4,1,2,,2,,2,1,,40,14,12,4,6,63,888,2579
4102,2,4,1,1,1,1,1,3,1,,41,2,13,4,5,71,934,2679
4215,3,4,1,2,,1,2,5,1,,42,15,21,2,5,116,1407,6595
4315,3,5,2,1,2,1,1,3,1,,43,15,8,4,1,43,482,3070
4405,1,2,0,2,,2,,1,1,,44,5,15,3,5,85,1027,15661
4511,2,4,0,2,,2,,2,1,,45,11,27,4,6,155,1821,1493
4604,1,4,2,2,,1,1,2,1,,46,4,12,1,6,65,900,2894
4705,1,3,1,2,,1,1,3,1,,47,5,29,3,5,169,1986,1167
4815,1,2,0,2,,2,,1,1,,48,15,12,4,6,63,887,2678
4901,1,5,0,2,,1,1,7,1,,49,1,9,1,4,49,670,2177
5004,1,4,1,2,,1,1,2,1,,50,4,23,1,6,132,1555,1256
5101,1,2,1,2,,2,,2,1,,51,1,13,4,5,70,931,3702
5205,1,5,1,1,1,1,1,4,1,,52,5,5,1,2,29,290,1726
5305,3,5,3,1,1,1,1,3,1,,53,5,17,1,5,98,1199,1137
5410,1,3,1,2,,1,1,4,1,,54,10,32,2,3,186,2142,1673
5519,1,4,1,2,,2,,2,1,,55,19,19,3,2,105,1255,1919
5606,3,5,1,1,1,2,,2,1,,56,6,29,4,5,167,1976,500
5704,3,6,1,1,3,1,1,3,1,,57,4,9,1,4,50,750,2094
5805,2,4,1,1,1,1,1,1,1,,58,5,2,1,1,11,134,2795
5909,3,4,0,1,2,1,2,5,1,,59,9,30,4,5,173,2043,4521
6004,2,4,1,1,1,1,1,4,1,,60,4,26,1,1,152,1801,2119
6103,2,3,1,1,1,1,1,2,1,,61,3,11,1,3,59,863,5357
6214,1,1,0,2,,1,1,1,1,,62,14,12,2,6,62,879,3249
6316,3,5,1,1,2,1,1,5,1,,63,16,24,4,2,137,1597,1065
6403,3,7,2,1,3,1,1,3,1,,64,3,10,1,1,54,811,1294
6519,3,5,1,1,1,1,1,3,1,,65,19,10,3,1,51,765,1494
6614,3,4,1,2,,1,2,5,1,,66,14,32,4,3,187,2146,1688
6705,1,2,1,2,,2,,1,1,,67,5,4,1,6,23,250,380
