"LLAVESDE","LLAVEVIV","LLAVEHOG","PAREN","SEXO","EDAD","NIV","GRA","FOLIO","VIV_SEL","HOGAR","N_REN","TLOC","REGION","EST_DIS","UPM_DIS","FAC_HOG"
"0000101101","0000101","00001011","1","1","38","08","4","00001","01","1","01","1","1","017","00196",633
"0000101102","0000101","00001011","2","2","35","","","00001","01","1","02","1","1","017","00196",633
"0000101103","0000101","00001011","3","2","10","","","00001","01","1","03","1","1","017","00196",633
"0000210101","0000210","00002101","1","1","36","08","5","00002","10","1","01","3","6","179","02088",1811
"0000303101","0000303","00003031","1","2","50","08","4","00003","03","1","01","1","4","050","00763",485
"0000303102","0000303","00003031","3","1","20","","","00003","03","1","02","1","4","050","00763",485
"0000401101","0000401","00004011","1","1","59","03","3","00004","01","1","01","1","1","017","00182",739
"0000503101","0000503","00005031","1","2","37","06","3","00005","03","1","01","1","4","049","00631",3756
"0000503102","0000503","00005031","3","2","19","","","00005","03","1","02","1","4","049","00631",3756
"0000503103","0000503","00005031","3","1","17","","","00005","03","1","03","1","4","049","00631",3756
"0000503104","0000503","00005031","3","2","15","","","00005","03","1","04","1","4","049","00631",3756
"0000603101","0000603","00006031","1","1","58","02","6","00006","03","1","01","1","6","040","00459",4568
"0000603102","0000603","00006031","2","2","53","","","00006","03","1","02","1","6","040","00459",4568
"0000603103","0000603","00006031","3","1","25","","","00006","03","1","03","1","6","040","00459",4568
"0000603104","0000603","00006031","3","1","23","","","00006","03","1","04","1","6","040","00459",4568
"0000704101","0000704","00007041","1","1","40","02","6","00007","04","1","01","4","6","111","01380",3726
"0000704102","0000704","00007041","2","2","36","","","00007","04","1","02","4","6","111","01380",3726
"0000704103","0000704","00007041","3","2","14","","","00007","04","1","03","4","6","111","01380",3726
"0000704104","0000704","00007041","3","1","11","","","00007","04","1","04","4","6","111","01380",3726
"0000704105","0000704","00007041","3","2","04","","","00007","04","1","05","4","6","111","01380",3726
"0000704106","0000704","00007041","3","2","01","","","00007","04","1","06","4","6","111","01380",3726
"0000803101","0000803","00008031","1","1","22","03","3","00008","03","1","01","2","2","135","01585",1797
"0000803102","0000803","00008031","2","2","24","","","00008","03","1","02","2","2","135","01585",1797
"0000803103","0000803","00008031","3","2","01","","","00008","03","1","03","2","2","135","01585",1797
"0000904101","0000904","00009041","1","1","46","07","3","00009","04","1","01","1","2","107","01297",3504
"0000904102","0000904","00009041","2","2","41","","","00009","04","1","02","1","2","107","01297",3504
"0000904103","0000904","00009041","3","2","19","","","00009","04","1","03","1","2","107","01297",3504
"0000904104","0000904","00009041","3","1","15","","","00009","04","1","04","1","2","107","01297",3504
"0001004101","0001004","00010041","1","1","37","03","3","00010","04","1","01","1","1","011","00136",2692
"0001004102","0001004","00010041","2","2","38","","","00010","04","1","02","1","1","011","00136",2692
"0001004103","0001004","00010041","3","1","06","","","00010","04","1","03","1","1","011","00136",2692
"0001004104","0001004","00010041","3","1","04","","","00010","04","1","04","1","1","011","00136",2692
"0001102101","0001102","00011021","1","1","77","03","3","00011","02","1","01","1","3","127","01481",2049
"0001102102","0001102","00011021","2","2","53","","","00011","02","1","02","1","3","127","01481",2049
"0001102103","0001102","00011021","3","2","17","","","00011","02","1","03","1","3","127","01481",2049
"0001102104","0001102","00011021","3","2","16","","","00011","02","1","04","1","3","127","01481",2049
"0001201101","0001201","00012011","1","1","40","03","3","00012","01","1","01","4","3","057","00834",19030
"0001201102","0001201","00012011","2","2","37","","","00012","01","1","02","4","3","057","00834",19030
"0001201103","0001201","00012011","3","2","13","","","00012","01","1","03","4","3","057","00834",19030
"0001201104","0001201","00012011","3","1","09","","","00012","01","1","04","4","3","057","00834",19030
"0001201105","0001201","00012011","3","2","04","","","00012","01","1","05","4","3","057","00834",19030
"0001303101","0001303","00013031","1","2","52","03","3","00013","03","1","01","1","6","156","01831",1596
"0001303102","0001303","00013031","5","2","47","","","00013","03","1","02","1","6","156","01831",1596
"0001303103","0001303","00013031","3","2","24","","","00013","03","1","03","1","6","156","01831",1596
"0001303104","0001303","00013031","3","1","20","","","00013","03","1","04","1","6","156","01831",1596
"0001303105","0001303","00013031","3","2","20","","","00013","03","1","05","1","6","156","01831",1596
"0001408101","0001408","00014081","1","2","64","00","0","00014","08","1","01","4","6","039","00454",3356
"0001408102","0001408","00014081","2","1","65","","","00014","08","1","02","4","6","039","00454",3356
"0001504101","0001504","00015041","1","1","46","06","3","00015","04","1","01","1","5","097","01171",1518
"0001504102","0001504","00015041","2","2","35","","","00015","04","1","02","1","5","097","01171",1518
"0001609101","0001609","00016091","1","1","73","02","1","00016","09","1","01","4","3","077","00970",8757
"0001609102","0001609","00016091","2","2","68","","","00016","09","1","02","4","3","077","00970",8757
"0001609103","0001609","00016091","6","2","34","","","00016","09","1","03","4","3","077","00970",8757
"0001609104","0001609","00016091","3","1","22","","","00016","09","1","04","4","3","077","00970",8757
"0001609105","0001609","00016091","4","2","14","","","00016","09","1","05","4","3","077","00970",8757
"0001609106","0001609","00016091","4","1","07","","","00016","09","1","06","4","3","077","00970",8757
"0001704101","0001704","00017041","1","2","42","03","3","00017","04","1","01","1","2","030","00358",1424
"0001704102","0001704","00017041","3","1","20","","","00017","04","1","02","1","2","030","00358",1424
