edad,ingreso_mensual,total_deuda_actual,historial_crediticio,antiguedad_laboral,numero_dependientes,tipo_vivienda,proposito_credito,monto_credito,ingreso_imputado,deuda_imputada_neutra,llavemod,llavehog,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion,tiene_credito,algun_atraso,y_real,y_pred
20,900.0,270.0,2,1,3,Familiar,Consumo,10000.0,False,True,1303104,13031,RECHAZADO,44,0.3,MODERADO,R001|R009,2,0,,True,False,1,0
64,7000.0,2100.0,2,0,0,Propia,Consumo,10000.0,True,True,2502101,25021,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
38,3000.0,900.0,2,1,1,Familiar,Consumo,10000.0,False,True,3903102,39031,REVISION_MANUAL,72,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
25,1800.0,540.0,2,2,1,Familiar,Consumo,10000.0,False,True,4102102,41021,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
34,500.0,150.0,2,1,3,Propia,Consumo,9000.0,False,True,6316102,63161,REVISION_MANUAL,72,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
49,2000.0,600.0,2,0,1,Familiar,Consumo,10000.0,True,True,6519102,65191,RECHAZADO,43,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
38,1200.0,360.0,2,1,3,Propia,Consumo,10000.0,False,True,6903101,69031,REVISION_MANUAL,73,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
38,2000.0,600.0,2,1,3,Propia,Consumo,10000.0,False,True,7103101,71031,REVISION_MANUAL,73,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
64,4000.0,1200.0,2,0,0,Familiar,Consumo,10000.0,True,True,7302101,73021,RECHAZADO,54,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
50,2400.0,720.0,2,4,1,Familiar,Consumo,10000.0,False,True,8203101,82031,REVISION_MANUAL,72,0.3,MODERADO,R001,1,0,,True,False,1,0
78,2000.0,600.0,2,3,4,Familiar,Consumo,10000.0,False,True,9703101,97031,RECHAZADO,55,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
34,2000.0,600.0,2,2,3,Familiar,Consumo,10000.0,False,True,11102101,111021,REVISION_MANUAL,68,0.3,MODERADO,R001,1,0,,True,False,1,0
34,1500.0,450.0,2,1,2,Propia,Consumo,10000.0,False,True,12001102,120011,REVISION_MANUAL,75,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
21,7000.0,2100.0,2,0,3,Familiar,Consumo,10000.0,True,True,12304104,123041,RECHAZADO,52,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
40,2000.0,600.0,2,2,1,Familiar,Consumo,10000.0,False,True,13002101,130021,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
71,2500.0,750.0,2,0,0,Propia,Consumo,10000.0,True,True,13319101,133191,REVISION_MANUAL,68,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
38,2000.0,600.0,2,2,4,Familiar,Consumo,10000.0,False,True,13402101,134021,RECHAZADO,57,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
32,2300.0,690.0,2,3,0,Familiar,Consumo,10000.0,False,True,13708101,137081,REVISION_MANUAL,73,0.3,MODERADO,R001,1,0,,True,False,1,0
37,1500.0,450.0,2,0,3,Familiar,Consumo,10000.0,True,True,14110102,141101,RECHAZADO,40,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
52,5000.0,1500.0,2,3,6,Familiar,Consumo,10000.0,False,True,14304101,143041,REVISION_MANUAL,67,0.3,MODERADO,R001|R010|R012,3,1,,True,False,1,0
72,2500.0,750.0,2,0,0,Propia,Consumo,10000.0,True,True,14801101,148011,REVISION_MANUAL,68,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
37,2500.0,750.0,2,0,3,Familiar,Consumo,10000.0,True,True,15108102,151081,RECHAZADO,51,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
73,300.0,90.0,2,1,0,Familiar,Consumo,5400.0,False,True,15704101,157041,REVISION_MANUAL,60,0.3,MODERADO,R001,1,0,,True,False,1,0
22,2500.0,750.0,2,0,3,Familiar,Consumo,10000.0,True,True,15816104,158161,RECHAZADO,49,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
56,2000.0,600.0,2,0,2,Familiar,Consumo,10000.0,True,True,15903102,159031,RECHAZADO,40,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
35,2500.0,750.0,2,1,2,Familiar,Consumo,10000.0,False,True,17005101,170051,REVISION_MANUAL,70,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
31,2000.0,600.0,2,4,0,Familiar,Consumo,10000.0,False,True,17205101,172051,REVISION_MANUAL,73,0.3,MODERADO,R001,1,0,,True,False,1,0
65,2500.0,750.0,2,0,2,Propia,Consumo,10000.0,True,True,17612101,176121,REVISION_MANUAL,65,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
26,2400.0,720.0,2,4,0,Familiar,Consumo,10000.0,False,True,17803102,178031,REVISION_MANUAL,73,0.3,MODERADO,R001,1,0,,True,False,1,0
31,2000.0,600.0,2,1,0,Propia,Consumo,10000.0,False,True,18104101,181041,REVISION_MANUAL,78,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
39,2300.0,690.0,2,4,4,Familiar,Consumo,10000.0,False,True,18204101,182041,RECHAZADO,57,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
29,3000.0,900.0,2,1,4,Familiar,Consumo,10000.0,False,True,19805103,198051,RECHAZADO,58,0.3,MODERADO,R001|R010|R012,3,1,,True,False,1,0
28,1000.0,300.0,2,2,6,Familiar,Consumo,10000.0,False,True,21809102,218091,RECHAZADO,57,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
27,1000.0,300.0,2,1,2,Familiar,Consumo,10000.0,False,True,22420103,224201,RECHAZADO,59,0.3,MODERADO,R001,1,0,,True,False,1,0
33,3000.0,900.0,2,1,2,Familiar,Consumo,10000.0,False,True,23604101,236041,REVISION_MANUAL,71,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
29,1500.0,450.0,2,1,0,Familiar,Consumo,10000.0,False,True,23604302,236043,REVISION_MANUAL,63,0.3,MODERADO,R001,1,0,,True,False,1,0
20,2500.0,750.0,2,0,7,Familiar,Consumo,10000.0,True,True,24701106,247011,RECHAZADO,25,0.3,MODERADO,R001|R004|R009|R010|R012,5,1,,True,False,1,0
74,1500.0,450.0,2,2,2,Familiar,Consumo,10000.0,False,True,26613101,266131,REVISION_MANUAL,68,0.3,MODERADO,R001,1,0,,True,False,1,0
27,7000.0,2100.0,2,4,5,Familiar,Consumo,10000.0,True,True,26704104,267041,REVISION_MANUAL,69,0.3,MODERADO,R001|R010|R012,3,1,,True,False,1,0
27,1000.0,300.0,2,2,3,Familiar,Consumo,10000.0,False,True,27203102,272031,REVISION_MANUAL,68,0.3,MODERADO,R001,1,0,,True,False,1,0
64,1300.0,390.0,2,4,0,Familiar,Consumo,10000.0,False,True,27712101,277121,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
25,1000.0,300.0,2,2,1,Familiar,Consumo,10000.0,False,True,28605104,286051,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
59,2000.0,600.0,2,0,0,Propia,Consumo,10000.0,True,True,28918101,289181,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
28,600.0,180.0,2,2,1,Familiar,Consumo,10000.0,False,True,29813101,298131,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
65,2500.0,750.0,2,0,0,Familiar,Consumo,10000.0,True,True,31001102,310011,RECHAZADO,53,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
20,900.0,270.0,2,4,2,Familiar,Consumo,10000.0,False,True,31501102,315011,RECHAZADO,55,0.3,MODERADO,R001|R009,2,0,,True,False,1,0
64,1500.0,450.0,2,0,0,Propia,Consumo,10000.0,True,True,32302102,323021,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
53,2000.0,600.0,2,0,1,Propia,Consumo,10000.0,True,True,32416101,324161,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
31,2000.0,600.0,2,4,2,Familiar,Consumo,10000.0,False,True,32507102,325071,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
54,1100.0,330.0,2,2,0,Familiar,Consumo,10000.0,False,True,32805102,328051,REVISION_MANUAL,72,0.3,MODERADO,R001,1,0,,True,False,1,0
61,1500.0,450.0,2,0,0,Propia,Consumo,10000.0,True,True,33403101,334031,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
35,1800.0,540.0,2,2,1,Familiar,Consumo,10000.0,False,True,33709102,337091,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
74,7000.0,2100.0,2,0,0,Propia,Consumo,10000.0,True,True,35901102,359011,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
67,1500.0,450.0,2,1,0,Familiar,Consumo,10000.0,False,True,36705101,367051,REVISION_MANUAL,61,0.3,MODERADO,R001,1,0,,True,False,1,0
30,1000.0,300.0,2,1,2,Familiar,Consumo,10000.0,False,True,37401102,374011,RECHAZADO,59,0.3,MODERADO,R001,1,0,,True,False,1,0
64,7000.0,2100.0,2,0,1,Propia,Consumo,10000.0,True,True,37502102,375021,REVISION_MANUAL,70,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
50,8000.0,2400.0,2,1,1,Familiar,Consumo,10000.0,False,True,37601101,376011,REVISION_MANUAL,75,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
19,1000.0,300.0,2,2,3,Familiar,Consumo,10000.0,False,True,37904103,379041,RECHAZADO,54,0.3,MODERADO,R001|R009,2,0,,True,False,1,0
69,7000.0,2100.0,2,0,0,Propia,Consumo,10000.0,True,True,38002102,380021,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
21,1600.0,480.0,2,4,2,Familiar,Consumo,10000.0,False,True,38602103,386021,REVISION_MANUAL,68,0.3,MODERADO,R001,1,0,,True,False,1,0
31,200.0,60.0,2,1,3,Familiar,Negocio,3600.0,False,True,38903103,389031,REVISION_MANUAL,69,0.3,MODERADO,R001|R006,2,0,,True,False,1,0
56,4000.0,1200.0,2,1,2,Familiar,Consumo,10000.0,False,True,39405101,394051,REVISION_MANUAL,69,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
79,1500.0,450.0,2,0,2,Propia,Consumo,10000.0,True,True,39802101,398021,RECHAZADO,55,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
22,7000.0,2100.0,2,0,0,Familiar,Consumo,10000.0,True,True,40801101,408011,RECHAZADO,56,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
63,1500.0,450.0,2,1,1,Propia,Consumo,10000.0,False,True,41305101,413051,REVISION_MANUAL,74,0.3,MODERADO,R001|R005,2,0,,True,False,1,0
38,1500.0,450.0,2,2,3,Familiar,Consumo,10000.0,False,True,41514101,415141,REVISION_MANUAL,68,0.3,MODERADO,R001,1,0,,True,False,1,0
53,2000.0,600.0,2,0,1,Familiar,Consumo,10000.0,True,True,41715102,417151,RECHAZADO,43,0.3,MODERADO,R001|R004,2,0,,True,False,1,0
54,500.0,150.0,2,1,3,Familiar,Consumo,9000.0,False,True,42614102,426141,RECHAZADO,57,0.3,MODERADO,R001,1,0,,True,False,1,0
30,2000.0,600.0,2,4,5,Familiar,Consumo,10000.0,False,True,42704103,427041,RECHAZADO,57,0.3,MODERADO,R001|R010,2,0,,True,False,1,0
48,1500.0,450.0,2,1,2,Familiar,Consumo,10000.0,False,True,43305101,433051,REVISION_MANUAL,60,0.3,MODERADO,R001,1,0,,True,False,1,0
60,2500.0,750.0,2,0,1,Propia,Consumo,10000.0,True,True,43805102,438051,REVISION_MANUAL,67,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
70,1500.0,450.0,2,0,0,Propia,Consumo,10000.0,True,True,45709101,457091,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
42,2000.0,600.0,2,2,2,Familiar,Consumo,10000.0,False,True,45709201,457092,REVISION_MANUAL,70,0.3,MODERADO,R001,1,0,,True,False,1,0
33,2000.0,600.0,2,0,2,Propia,Consumo,10000.0,True,True,45918101,459181,RECHAZADO,57,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
20,2500.0,750.0,2,0,1,Familiar,Consumo,10000.0,True,True,46004102,460041,RECHAZADO,40,0.3,MODERADO,R001|R004|R009|R012,4,1,,True,False,1,0
47,2500.0,750.0,2,1,2,Familiar,Consumo,10000.0,True,True,46501101,465011,REVISION_MANUAL,70,0.3,MODERADO,R001|R012,2,1,,True,False,1,0
44,2500.0,750.0,2,0,2,Propia,Negocio,12000.0,True,True,46702101,467021,REVISION_MANUAL,69,0.3,MODERADO,R001|R004|R005|R006,4,0,,True,False,1,0
72,2000.0,600.0,2,0,0,Propia,Consumo,10000.0,True,True,46702201,467022,RECHAZADO,58,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
54,1000.0,300.0,2,1,0,Familiar,Consumo,10000.0,False,True,47304101,473041,REVISION_MANUAL,62,0.3,MODERADO,R001,1,0,,True,False,1,0
25,800.0,240.0,2,4,4,Propia,Consumo,10000.0,False,True,49015105,490151,REVISION_MANUAL,72,0.3,MODERADO,R001|R005|R010,3,0,,True,False,1,0
35,2000.0,600.0,2,2,1,Familiar,Consumo,10000.0,False,True,50104101,501041,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
23,2000.0,600.0,2,4,0,Familiar,Consumo,10000.0,False,True,50317102,503171,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
31,1000.0,300.0,2,1,2,Familiar,Consumo,10000.0,False,True,52202102,522021,RECHAZADO,59,0.3,MODERADO,R001,1,0,,True,False,1,0
19,1700.0,510.0,2,2,2,Familiar,Consumo,10000.0,False,True,53506103,535061,RECHAZADO,56,0.3,MODERADO,R001|R009,2,0,,True,False,1,0
31,2500.0,750.0,2,0,3,Propia,Consumo,10000.0,True,True,53705102,537051,REVISION_MANUAL,66,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
60,100.0,30.0,2,1,1,Familiar,Consumo,1800.0,False,True,53914103,539141,RECHAZADO,58,0.3,MODERADO,R001,1,0,,True,False,1,0
50,2000.0,600.0,2,2,1,Familiar,Consumo,10000.0,False,True,55805103,558051,REVISION_MANUAL,71,0.3,MODERADO,R001,1,0,,True,False,1,0
29,2300.0,690.0,2,4,0,Familiar,Consumo,10000.0,False,True,58103102,581031,REVISION_MANUAL,73,0.3,MODERADO,R001,1,0,,True,False,1,0
72,12000.0,3600.0,2,1,5,Propia,Consumo,10000.0,False,True,60105102,601051,REVISION_MANUAL,75,0.3,MODERADO,R001|R005|R010|R012,4,1,,True,False,1,0
26,2500.0,750.0,2,0,2,Familiar,Consumo,10000.0,True,True,60205102,602051,RECHAZADO,52,0.3,MODERADO,R001|R004|R012,3,1,,True,False,1,0
28,2000.0,600.0,2,2,3,Familiar,Consumo,10000.0,False,True,61004101,610041,REVISION_MANUAL,68,0.3,MODERADO,R001,1,0,,True,False,1,0
80,300.0,90.0,2,0,0,Propia,Consumo,5400.0,False,True,61201101,612011,RECHAZADO,57,0.3,MODERADO,R001|R004|R005,3,0,,True,False,1,0
73,2500.0,750.0,2,0,2,Propia,Consumo,10000.0,True,True,61705101,617051,REVISION_MANUAL,65,0.3,MODERADO,R001|R004|R005|R012,4,1,,True,False,1,0
