model,fold,accuracy,f1,roc_auc,fit_time_s,scenario
Logistic Regression (L1),1,1.0,1.0,1.0,0.6867926120758057,A
Logistic Regression (L1),2,1.0,1.0,1.0,0.6024236679077148,A
Logistic Regression (L1),3,1.0,1.0,1.0,0.672875165939331,A
Logistic Regression (L1),4,1.0,1.0,1.0,0.22927427291870117,A
Logistic Regression (L1),5,1.0,1.0,1.0,0.49889588356018066,A
Random Forest,1,1.0,1.0,1.0,1.113001823425293,A
Random Forest,2,1.0,1.0,1.0,1.107992172241211,A
Random Forest,3,1.0,1.0,1.0,1.123610496520996,A
Random Forest,4,1.0,1.0,1.0,1.1238563060760498,A
Random Forest,5,1.0,1.0,1.0,1.1211621761322021,A
Gradient Boosting,1,1.0,1.0,1.0,0.4876065254211426,A
Gradient Boosting,2,1.0,1.0,1.0,0.49074435234069824,A
Gradient Boosting,3,1.0,1.0,1.0,0.5441529750823975,A
Gradient Boosting,4,1.0,1.0,1.0,0.5361940860748291,A
Gradient Boosting,5,1.0,1.0,1.0,0.5380468368530273,A
Logistic Regression (L1),1,0.7742857142857142,0.8727858293075684,0.5446748771285181,0.11683082580566406,B
Logistic Regression (L1),2,0.7742857142857142,0.8727858293075684,0.5456765327146942,0.11265182495117188,B
Logistic Regression (L1),3,0.7742857142857142,0.8727858293075684,0.5563210695398093,0.11744332313537598,B
Logistic Regression (L1),4,0.775023832221163,0.8732545649838883,0.5559186524068631,0.08841681480407715,B
Logistic Regression (L1),5,0.7740705433746425,0.8726491133799033,0.5797894452412129,0.10563993453979492,B
Random Forest,1,0.7742857142857142,0.8727858293075684,0.5626813230157618,0.5789210796356201,B
Random Forest,2,0.7742857142857142,0.8727858293075684,0.5593000866717528,0.5759067535400391,B
Random Forest,3,0.7742857142857142,0.8727858293075684,0.5409225611243453,0.588925838470459,B
Random Forest,4,0.775023832221163,0.8732545649838883,0.5659932870515145,0.5934646129608154,B
Random Forest,5,0.775023832221163,0.8731182795698925,0.6079404917794267,0.5734744071960449,B
Gradient Boosting,1,0.7771428571428571,0.8740581270182992,0.5787908511996512,1.0877597332000732,B
Gradient Boosting,2,0.7733333333333333,0.8721804511278195,0.5595310383483583,1.075951099395752,B
Gradient Boosting,3,0.7752380952380953,0.8729817007534983,0.5309604994784125,1.1097657680511475,B
Gradient Boosting,4,0.773117254528122,0.8717672413793104,0.5429748577146788,1.0358014106750488,B
Gradient Boosting,5,0.775023832221163,0.8727076591154261,0.615480347529671,1.0401027202606201,B
