model,scenario,feature,importance
Random Forest,A,num__historial_crediticio,0.9676200838152403
Random Forest,A,num__edad,0.010331017293923873
Random Forest,A,num__total_deuda_actual,0.0054333239265591925
Random Forest,A,num__antiguedad_laboral,0.005200643404413292
Random Forest,A,num__ingreso_mensual,0.004652158150195421
Random Forest,A,num__numero_dependientes,0.003058298732468048
Random Forest,A,cat__tipo_vivienda_Familiar,0.0010306552005932147
Random Forest,A,num__monto_credito,0.000996317039469203
Random Forest,A,cat__tipo_vivienda_Propia,0.0008627976538892735
Random Forest,A,cat__proposito_credito_Consumo,0.0005159908789457871
Random Forest,A,cat__proposito_credito_Negocio,0.00029871390430243473
Gradient Boosting,A,num__historial_crediticio,0.9999999999999561
Gradient Boosting,A,num__edad,3.540251845198677e-14
Gradient Boosting,A,num__total_deuda_actual,4.688555915091823e-15
Gradient Boosting,A,num__ingreso_mensual,3.4265799506994595e-15
Gradient Boosting,A,num__numero_dependientes,2.3436260410294026e-16
Gradient Boosting,A,num__antiguedad_laboral,1.1999655074776846e-16
Gradient Boosting,A,num__monto_credito,0.0
Gradient Boosting,A,cat__tipo_vivienda_Familiar,0.0
Gradient Boosting,A,cat__tipo_vivienda_Propia,0.0
Gradient Boosting,A,cat__proposito_credito_Consumo,0.0
Gradient Boosting,A,cat__proposito_credito_Negocio,0.0
Random Forest,B,num__edad,0.3379889004708036
Random Forest,B,num__total_deuda_actual,0.1537772557239792
Random Forest,B,num__ingreso_mensual,0.14618103069928523
Random Forest,B,num__antiguedad_laboral,0.1398681788501662
Random Forest,B,num__numero_dependientes,0.09823638986455668
Random Forest,B,num__monto_credito,0.03905508395976479
Random Forest,B,cat__tipo_vivienda_Propia,0.030216134448766547
Random Forest,B,cat__tipo_vivienda_Familiar,0.029657028264289332
Random Forest,B,cat__proposito_credito_Negocio,0.013876261887299918
Random Forest,B,cat__proposito_credito_Consumo,0.01114373583108843
Gradient Boosting,B,num__edad,0.3484404410436725
Gradient Boosting,B,num__ingreso_mensual,0.15284800250491573
Gradient Boosting,B,num__antiguedad_laboral,0.1399647139009961
Gradient Boosting,B,num__total_deuda_actual,0.13775193585490147
Gradient Boosting,B,num__numero_dependientes,0.09659262955306784
Gradient Boosting,B,cat__tipo_vivienda_Propia,0.04866491435672293
Gradient Boosting,B,cat__tipo_vivienda_Familiar,0.03700406642724755
Gradient Boosting,B,num__monto_credito,0.016021604832268457
Gradient Boosting,B,cat__proposito_credito_Negocio,0.012921289488316536
Gradient Boosting,B,cat__proposito_credito_Consumo,0.009790402037890993
