llavemod,dictamen,score_final,dti_ratio,dti_clasificacion,reglas_activadas,n_reglas,n_compensaciones,errores_validacion
101101,APROBADO,85,0.3,MODERADO,R001|R012,2,1,
210101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
303102,RECHAZADO,38,0.3,MODERADO,R009|R012,2,1,
401101,APROBADO,100,0.3,MODERADO,R001|R005|R012|R015,4,2,
503101,RECHAZADO,38,0.3,MODERADO,,0,0,
603102,RECHAZADO,54,0.3,MODERADO,R005,1,0,
704101,RECHAZADO,0,0.3,MODERADO,R004|R010,2,0,
803102,RECHAZADO,50,0.3,MODERADO,R012,1,1,
904102,RECHAZADO,40,0.3,MODERADO,,0,0,
1004101,RECHAZADO,51,0.3,MODERADO,R012,1,1,
1102102,RECHAZADO,12,0.3,MODERADO,R004,1,0,
1201102,RECHAZADO,10,0.3,MODERADO,R004,1,0,
1303104,RECHAZADO,44,0.3,MODERADO,R001|R009,2,0,
1408102,RECHAZADO,45,0.3,MODERADO,R005,1,0,
1504101,RECHAZADO,33,0.3,MODERADO,,0,0,
1609104,RECHAZADO,36,0.3,MODERADO,,0,0,
1704101,RECHAZADO,0,0.3,MODERADO,R002|R004,2,0,
1816102,RECHAZADO,15,0.3,MODERADO,R004,1,0,
1904105,RECHAZADO,12,0.3,MODERADO,R004,1,0,
2008101,RECHAZADO,58,0.3,MODERADO,R005|R012,2,1,
2105101,APROBADO,95,0.3,MODERADO,R001|R005|R012,3,1,
2205103,RECHAZADO,0,0.3,MODERADO,R002|R004,2,0,
2318101,RECHAZADO,43,0.3,MODERADO,,0,0,
2413101,RECHAZADO,55,0.3,MODERADO,R005,1,0,
2502101,REVISION_MANUAL,71,0.3,MODERADO,R001|R004|R005|R012,4,1,
2601101,RECHAZADO,39,0.3,MODERADO,,0,0,
2601201,RECHAZADO,30,0.3,MODERADO,,0,0,
2701101,RECHAZADO,23,0.3,MODERADO,R002|R006,2,0,
2805101,RECHAZADO,29,0.3,MODERADO,,0,0,
2920101,APROBADO,97,0.3,MODERADO,R001|R005|R012,3,1,
3001104,RECHAZADO,26,0.3,MODERADO,R004|R012,2,1,
3102103,RECHAZADO,29,0.3,MODERADO,,0,0,
3209102,RECHAZADO,13,0.3,MODERADO,R004,1,0,
